Current,資產負債表,,單季,,,,資產負債表在單季跟累計時無差異,,,,呈現的是一個「時間點」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公司,年/月,季別,合併(Y/N),單季(Q)/單半年(H),月份,幣別,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  避險之金融資產－流動,  合約資產－流動,  應收帳款及票據,  其他應收款,  資金貸予他人－流動,  存貨,  生物資產流動,  預付費用及預付款,  應收代理店款,  待出售非流動資產,  當期所得稅資產－流動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324 仁寶,2023/12,4,Y,Q,12,NTD,"72,479,480","52,062",0,0,0,0,"193,714,616","2,372,980",0,"95,102,692",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353 宏碁,2023/12,4,Y,Q,12,NTD,"48,134,128","140,558",0,"461,025",0,"701,205","52,308,232","981,335",0,"43,553,072",0,"1,684,167",0,0,"348,843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324 仁寶,2023/09,3,Y,Q,09,NTD,"67,153,635","280,461",0,0,"9,829",0,"222,206,959","2,269,593",0,"113,430,785",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353 宏碁,2023/09,3,Y,Q,09,NTD,"52,412,357","884,087",0,0,0,"927,666","58,279,406","728,050",0,"45,021,630",0,"1,414,651",0,0,"435,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324 仁寶,2023/06,2,Y,Q,06,NTD,"64,525,917","11,587",0,0,"3,098",0,"223,483,217","2,233,598",0,"102,644,318",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353 宏碁,2023/06,2,Y,Q,06,NTD,"47,951,358","347,642",0,0,0,"838,036","55,734,089","820,498",0,"43,002,670",0,"1,226,490",0,0,"330,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324 仁寶,2023/03,1,Y,Q,03,NTD,"86,323,615","3,206",0,0,"5,759",0,"173,792,874","2,220,895",0,"118,002,880",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353 宏碁,2023/03,1,Y,Q,03,NTD,"41,541,239","958,159",0,0,0,"751,787","50,290,381","659,391",0,"39,456,948",0,"998,885",0,0,"294,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current,資產負債表,,累計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公司,年/月,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  避險之金融資產－流動,  合約資產－流動,  應收帳款及票據,  其他應收款,  資金貸予他人－流動,  存貨,  生物資產流動,  預付費用及預付款,  應收代理店款,  待出售非流動資產,  當期所得稅資產－流動,  其他金融資產－流動,  其他流動資產,流動資產,  透過損益按公允價值衡量之金融資產－非流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  按攤銷後成本衡量之金融資產－非流動,  避險之金融資產－非流動,  合約資產－非流動,  採權益法之長期股權投資,  預付投資款,  不動產廠房及設備,    商譽淨額,    特許權,    發展中之無形資產,    其他無形資產淨額,  商譽及無形資產合計,    遞延所得稅資產,    其他遞延資產淨額,  遞延資產合計,    遞延借項－非流動,    使用權資產,    投資性不動產淨額,    預付設備款,    長期預付租金,    生物資產非流動,    其他非流動資產－其他,  其他非流動資產,非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  避險之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  負債準備－流動,  與待出售非流動資產直接相關之負債,  其他金融負債－流動,  租賃負債─流動,  一年內到期長期負債,  特別股負債－流動,  應付代理店款,  其他流動負債,流動負債,  透過損益按公允價值衡量之金融負債－非流動,  避險之金融負債－非流動,  按攤銷後成本衡量之金融負債－非流動,  合約負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  銀行借款－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,  其他非流動負債,非流動負債,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,    國外營運機構財務報表換算之兌換差額,    透過其他綜合損益按公允價值衡量之金融資產未實現損益,    指定按公允價值衡量之金融負債信用風險變動影響數,    確定福利計畫再衡量數,    避險工具損益,    不動產重估增值,    與待出售非流動資產直接相關之權益,    員工未賺得酬勞,    股東權益其他調整項,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
2324 仁寶,2023/03,"86,323,615","3,206",0,0,"5,759",0,"173,792,874","2,220,895",0,"118,002,880",0,0,0,0,0,0,"4,760,167","385,109,396","583,040","5,318,702",0,0,0,"7,724,252",0,"29,002,188",0,0,0,"1,693,485","1,693,485","2,394,660",0,"2,394,660",0,"13,639,611",0,0,0,0,"2,235,702","15,875,313","62,591,640","447,701,036","83,085,216",0,"199,684","32,882",0,"854,401","158,017,882","32,885,650","7,648,617","650,725",0,0,"1,873,287","9,980,555",0,0,"6,513,498","301,742,397",0,0,0,0,0,0,"13,320,921",0,"8,089,321",0,0,"644,759","1,261,828","427,767","23,744,596","325,486,993","44,071,466",0,0,0,0,"44,071,466","4,258,803","22,576,846","8,206,750","36,171,438","66,955,034","-2,049,770","-564,686",0,0,0,0,0,0,"-6,833","-2,621,289","-881,247","111,782,767",0,0,"10,431,276","122,214,043","447,701,036"
2353 宏碁,2023/03,"41,541,239","958,159",0,0,0,"751,787","50,290,381","659,391",0,"39,456,948",0,"998,885",0,0,"294,575","5,179,368","2,631,928","142,762,661",0,"9,084,408","1,376,554",0,0,"1,013,239",0,"4,353,694","17,460,584",0,0,"1,143,372","18,603,956","3,707,216",0,"3,707,216",0,"2,031,582","855,352",0,0,0,"3,673,457","6,560,391","44,699,458","187,462,119","1,509,222",0,"638,720",0,0,"2,934,463","31,201,022","38,915,902","3,453,208","6,674,650",0,0,"628,983","71,778",0,0,"14,523,452","100,551,400",0,0,0,"730,508",0,"10,000,000","91,420",0,"1,538,466","15,546",0,0,"5,024,193","1,609,775","19,009,908","119,561,308","30,478,538",0,0,0,0,"30,478,538","27,798,059","2,515,341","7,398,192","926,997","10,840,530","-4,426,334","1,073,679",0,"313,207",0,0,0,0,0,"-3,039,448","-2,914,856","63,162,823",0,0,"4,737,988","67,900,811","187,462,119"
2324 仁寶,2023/06,"64,525,917","11,587",0,0,"3,098",0,"223,483,217","2,233,598",0,"102,644,318",0,0,0,0,0,0,"5,282,138","398,183,873","610,694","5,654,747",0,0,0,"7,555,769",0,"28,112,042",0,0,0,"1,579,997","1,579,997","2,414,509",0,"2,414,509",0,"13,683,333",0,0,0,0,"2,559,686","16,243,019","62,170,777","460,354,650","79,815,184",0,"235,798","8,481",0,"638,237","170,759,982","29,976,343","5,727,041","833,327",0,0,"2,012,067","12,696,368",0,0,"6,307,308","309,010,136",0,0,0,0,0,0,"14,619,577",0,"8,039,649",0,0,"641,342","1,294,078","426,538","25,021,184","334,031,320","44,071,466",0,0,0,0,"44,071,466","4,270,409","23,313,701","1,943,104","43,793,761","69,050,566","-726,749","-279,285",0,0,0,0,0,0,"-1,098","-1,007,132","-881,247","115,504,062",0,0,"10,819,268","126,323,330","460,354,650"
2353 宏碁,2023/06,"47,951,358","347,642",0,0,0,"838,036","55,734,089","820,498",0,"43,002,670",0,"1,226,490",0,0,"330,842","3,031,033","2,921,729","156,204,387",0,"13,810,014","2,108,838",0,0,"983,582",0,"4,364,734","17,708,160",0,0,"1,186,352","18,894,512","3,708,813",0,"3,708,813",0,"2,148,454","852,101",0,0,0,"3,873,277","6,873,832","50,744,325","206,948,712","1,165,610",0,"299,909",0,0,"3,387,196","39,875,643","41,414,118","2,888,268","6,778,858",0,0,"645,171","29,307",0,0,"16,065,552","112,549,632",0,0,0,"762,651",0,"10,000,000","81,826",0,"1,650,417","8,352",0,0,"5,006,523","1,639,632","19,149,401","131,699,033","30,478,538",0,0,0,0,"30,478,538","27,845,056","3,011,327","7,313,941","1,918,892","12,244,160","-3,185,945","5,765,328",0,"313,148",0,0,0,0,0,"2,892,531","-2,914,856","70,545,429",0,0,"4,704,250","75,249,679","206,948,712"
2324 仁寶,2023/09,"67,153,635","280,461",0,0,"9,829",0,"222,206,959","2,269,593",0,"113,430,785",0,0,0,0,0,0,"5,304,277","410,655,539","667,274","6,294,631",0,0,0,"7,689,052",0,"29,316,891",0,0,0,"1,614,379","1,614,379","2,409,382",0,"2,409,382",0,"13,719,092",0,0,0,0,"2,795,883","16,514,975","64,506,584","475,162,123","73,968,725",0,"35,076",270,0,"751,327","189,774,102","31,124,577","6,587,045","812,524",0,0,"1,982,516","6,983,849",0,0,"6,365,227","318,385,238",0,0,0,0,0,0,"13,702,693",0,"8,161,830",0,0,"638,310","1,309,392","431,359","24,243,584","342,628,822","44,071,466",0,0,0,0,"44,071,466","4,270,510","23,313,701","1,943,104","46,193,285","71,450,090","2,394,950","-94,641",0,0,0,0,0,0,"2,844","2,303,153","-881,247","121,213,972",0,0,"11,319,329","132,533,301","475,162,123"
2353 宏碁,2023/09,"52,412,357","884,087",0,0,0,"927,666","58,279,406","728,050",0,"45,021,630",0,"1,414,651",0,0,"435,764","4,198,502","2,676,653","166,978,766",0,"11,548,129","4,502,404",0,0,"1,288,800",0,"4,437,580","18,348,934",0,0,"1,084,156","19,433,090","3,713,698",0,"3,713,698",0,"2,099,302","848,850",0,0,0,"3,613,084","6,561,236","51,484,937","218,463,703","942,538",0,"90,146",0,0,"3,108,841","47,926,740","37,686,645","3,389,427","6,810,232",0,0,"666,391","28,032",0,0,"16,488,493","117,137,485",0,0,0,"804,427",0,"10,000,000","1,579,424",0,"1,591,487","14,155",0,0,"5,018,868","1,669,172","20,677,533","137,815,018","30,478,538",0,0,0,0,"30,478,538","27,721,888","3,011,327","7,313,941","7,149,063","17,474,331","-1,561,846","3,893,846",0,"312,708",0,0,0,0,0,"2,644,708","-2,914,856","75,404,609",0,0,"5,244,076","80,648,685","218,463,703"
2324 仁寶,2023/12,"72,479,480","52,062",0,0,0,0,"193,714,616","2,372,980",0,"95,102,692",0,0,0,0,0,0,"5,202,467","368,924,297","1,217,512","9,116,008",0,0,0,"7,448,351",0,"29,040,525",0,0,0,"1,462,162","1,462,162","3,615,912",0,"3,615,912",0,"13,793,968",0,0,0,0,"2,152,239","15,946,207","67,846,677","436,770,974","58,974,271",0,"164,535","14,246",0,"767,327","158,995,984","30,464,866","7,594,694","787,396",0,0,"2,001,766","11,385,027",0,0,"6,101,950","277,252,062",0,0,0,0,0,0,"15,285,590",0,"8,329,451",0,0,"651,272","1,985,324","494,422","26,746,059","303,998,121","44,071,466",0,0,0,0,"44,071,466","4,270,915","23,313,701","1,943,104","47,291,350","72,548,155","-1,747,330","1,363,472",0,0,0,0,0,0,"-3,436","-387,294","-881,247","119,621,995",0,0,"13,150,858","132,772,853","436,770,974"
