CO_ID,YYYY/MM,Total cash and cash equivalents,Total current financial assets at fair value through profit or loss,Financial assets at fair value through other comprehensive income - Current,Financial assets measured at amortized cost - Current,Current financial assets for hedging,Current contract assets,Accounts & notes receivable,Other receivable,Loan to others - Short-Term,Total inventories,"Current biological assets, net",Total prepayments,Agency current-debit (for sea/land shipping business),"Non-current assets classified as held for sale, net",Total current tax assets,Other current financial assets,Other current assets,Total current assets,Total non-current financial assets at fair value through profit or loss,Financial assets at fair value through other comprehensive income - Non-Current,Financial assets measured at amortized cost - Non-Current,Non-current financial assets for hedging,Non-current contract assets,"Investments accounted for using equity method, net",Non-current prepayments for investments,"Total property, plant and equipment",Goodwill,"Franchise, net","Intangible assets under development, net",Other intangible assets,Goodwill and intangible assets,Deferred tax assets,Other deferred assets,Deferred assets,"Deferred debits, losses on inter-affiliate accounts",Right of use assets,"Investment property, net",Prepayments for business facilities,Long-term prepaid rents,Total non-current biological assets,Total other non-current assets - Others,Total other non-current assets,Total non-current assets,Total assets,Total short-term borrowings,Total short-term notes and bills payable,Total current financial liabilities at fair value through profit or loss,Current financial liabilities for hedging,Financial liabilities measured at amortized cost - Current,Current contract liabilities,Accounts and notes payable,Other payable,Current tax liabilities,Total current provisions,Liabilities included in disposal groups classified as held for sale,Other current financial liabilities,Current Lease Liabilities,"Total long-term liabilities, current portion",Current preference share liabilities,Agency current-credit (for sea/land and shipping business),Other current liability,Total current liabilities,Total non-current financial liabilities at fair value through profit or loss,Non-current financial liabilities for hedging,Financial liabilities measured at amortized cost - Non-Current,Non-current contract liabilities,Non-current preference share liabilities,Total bonds payable,Long-term bank loans,Other long-term payable,Non-current Lease Liabilities,Total non-current provisions,"Deferred credits, gains on inter-affiliate accounts",Accrued pension liabilities,Total deferred tax liabilities,Other non-current Liability,Total non-current liabilities,Total liabilities,Ordinary share,Preference share,Advance receipts for share capital,Stock dividend to be distributed,Certificate of entitlement to new shares,Capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated retained earnings (accumulated deficit),Total retained earnings,Total exchange differences on translation of foreign financial statements,Total unrealized gains (losses) on fin. assets at fair value through OCI,Credit risk on fair value measurement of financial liabilities,Remeasurement of defined benefit plans,Total gains (losses) on hedging instrument,"Total revaluation of property, plant, and equipment",Total equity related to non-current assets classified as held for sale,Other equity - unearned compensation,"Other equity, others",Total other equity interest,Treasury shares,Total equity attributable to owners of parent,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Non-controlling interests,Total equity,Total liabilities & equity
2324 Compal,45261.00 ,72479480.00 ,52062.00 ,0.00 ,0.00 ,0.00 ,0.00 ,193714616.00 ,2372980.00 ,0.00 ,95102692.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5202467.00 ,368924297.00 ,1217512.00 ,9116008.00 ,0.00 ,0.00 ,0.00 ,7448351.00 ,0.00 ,29040525.00 ,0.00 ,0.00 ,0.00 ,1462162.00 ,1462162.00 ,3615912.00 ,0.00 ,3615912.00 ,0.00 ,13793968.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2152239.00 ,15946207.00 ,67846677.00 ,436770974.00 ,58974271.00 ,0.00 ,164535.00 ,14246.00 ,0.00 ,767327.00 ,158995984.00 ,30464866.00 ,7594694.00 ,787396.00 ,0.00 ,0.00 ,2001766.00 ,11385027.00 ,0.00 ,0.00 ,6101950.00 ,277252062.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15285590.00 ,0.00 ,8329451.00 ,0.00 ,0.00 ,651272.00 ,1985324.00 ,494422.00 ,26746059.00 ,303998121.00 ,44071466.00 ,0.00 ,0.00 ,0.00 ,0.00 ,44071466.00 ,4270915.00 ,23313701.00 ,1943104.00 ,47291350.00 ,72548155.00 ,(1747330.00),1363472.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(3436.00),(387294.00),(881247.00),119621995.00 ,0.00 ,0.00 ,13150858.00 ,132772853.00 ,436770974.00 
2353 ACER,45261.00 ,48134128.00 ,140558.00 ,0.00 ,461025.00 ,0.00 ,701205.00 ,52308232.00 ,981335.00 ,0.00 ,43553072.00 ,0.00 ,1684167.00 ,0.00 ,0.00 ,348843.00 ,6885203.00 ,2368270.00 ,157566038.00 ,0.00 ,11901429.00 ,4214559.00 ,0.00 ,0.00 ,1391943.00 ,0.00 ,4423825.00 ,17679864.00 ,0.00 ,0.00 ,1175468.00 ,18855332.00 ,3784322.00 ,0.00 ,3784322.00 ,0.00 ,1924650.00 ,861680.00 ,0.00 ,0.00 ,0.00 ,3810068.00 ,6596398.00 ,51167808.00 ,208733846.00 ,976627.00 ,0.00 ,787803.00 ,0.00 ,0.00 ,3252251.00 ,44701410.00 ,32285437.00 ,2997993.00 ,6466024.00 ,0.00 ,0.00 ,613488.00 ,39518.00 ,0.00 ,0.00 ,15089000.00 ,107209551.00 ,0.00 ,0.00 ,0.00 ,712983.00 ,0.00 ,10000000.00 ,1565035.00 ,0.00 ,1486249.00 ,14232.00 ,0.00 ,1476647.00 ,5718682.00 ,208402.00 ,21182230.00 ,128391781.00 ,30478538.00 ,0.00 ,0.00 ,0.00 ,0.00 ,30478538.00 ,27805176.00 ,3011327.00 ,7313941.00 ,8165718.00 ,18490986.00 ,(3799702.00),4170049.00 ,0.00 ,294251.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,664598.00 ,(2712774.00),74726524.00 ,0.00 ,0.00 ,5615541.00 ,80342065.00 ,208733846.00 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
