Current,,損益表,,單季,,損益表在單季跟累計有差異,,,,以「時間區間」為呈現的方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公司,年/月,  營業收入毛額,  營收－租金收入,  營收－處分土地收入,  營收－利息收入,  營收－處分投資收入,  營收－投資收益,  退回及折讓,營業收入淨額,  銷貨成本,  成本－租金成本,  成本－出售土地,  成本－利息支出,  成本－處分投資成本,  成本－投資損失,營業成本,營業毛利,聯屬公司已（未）實現銷貨利益,已實現銷貨毛利,營業費用,  推銷費用,  管理費用,  研究發展費,  其他費用,  預期信用減損（損失）利益－營業費用,其他收益及費損淨額,營業利益,  利息收入,  租金收入,  權利金收入,  股利收入,  廉價購買收益,  違約金收入,  預期信用減損利益,  沖銷逾期應付帳款利益,  補助收益,  其他收入－其他,其他收入,  處分不動產、廠房及設備利益,  處分投資利益,  外幣兌換利益,  透過損益按公允價值衡量之金融資產（負債）利益,  按攤銷後成本衡量之金融負債利益,  避險工具之利益,  資產評價利益,  金融資產減損迴轉利益,  資產減損迴轉利益,    不動產、廠房及設備減損迴轉利益,    無形資產減損迴轉利益,    其他減損迴轉利益,  賠償收入,  買回公司債利益,  停工損失,  合約損失,  賠償損失,  處分不動產、廠房及設備損失,  處分投資損失,  外幣兌換損失,  透過損益按公允價值衡量之金融資產（負債）損失,  按攤銷後成本衡量之金融負債損失,  避險工具之損失,  資產評價損失,  金融資產減損損失,  資產減損損失,    不動產、廠房及設備減損損失,    無形資產減損損失,    其他減損損失,  買回公司債損失,  其他利益及損失－其他,其他利益及損失,  利息支出(不含租賃負債),  利息支出－租賃負債,  負債性特別股股息,  財務成本－其他,財務成本,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採權益法之關聯企業及合資損益之份額,預期信用減損（損失）利益,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,營業外收入及支出－其他,營業外收入及支出,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,    確定福利計畫之再衡量數－不重分類－OCI,    不動產重估價之利益（損失）－不重分類－OCI,    指定按公允價值衡量金融負債信用風險變動影響－不重分－OCI,    待售待分業主非流資（處分群組）直接相關權益－不重分－OCI,    透過FVOCI衡量權益工具投資未實現評價損益－不重分類－OCI,    避險工具之損益－不重分類－OCI,    採權益法認列關聯企業及合資其他綜合損益份額－不重分－OCI,    其他綜合損益－其他－不重分類－OCI,    與其他綜合損益組成部分相關之所得稅－不重分類－OCI,  不重分類至損益之項目－OCI,    國外營運機構財務報表換算之兌換差額－可重分類－OCI,    待售待分業主非流資（處分群組）直接相關權益－可重分－OCI,    透FVOCI衡量債務工具投資未實現評價損益－可重分類－OCI,    避險工具之損益－可重分類－OCI,    採權益法認列關聯企業及合資其他綜合損益份額－可重分－OCI,    其他綜合損益－其他－可重分類－OCI,    與其他綜合損益組成部分相關之所得稅－可重分類－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利,  庫藏股數－母公司,  庫藏股數－子公司持有母公司股票或其他,庫藏股數（母持及子持母）
2324 仁寶,2023/12,"241,671,172",0,0,0,0,0,0,"241,671,172","230,448,531",0,0,0,0,0,"230,448,531","11,222,641",0,"11,222,641","7,837,441","1,464,680","1,291,248","5,081,513",0,0,0,"3,385,200","1,059,797",0,0,"20,389",0,0,0,0,0,"133,362","1,213,548","3,039",-779,"-286,704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"140,404",0,0,0,0,0,0,0,0,0,"-19,773","-444,621","1,206,365","18,475",0,"-11,038","1,213,802",-,"156,918","-156,918",0,0,0,0,"-601,793","2,783,407","614,861","2,168,546",0,0,0,"2,168,546","-14,292",0,0,0,"821,969",0,"114,048",0,"152,219","769,506","-4,025,772",0,0,"-23,805","-200,317",0,"-7,280","-4,242,614",0,"-3,473,108","-1,304,562","1,785,961","382,585",0,"-1,591,576","287,014",0,0.41,"4,357,130",0,-,-,-,"3,997,209","5,774,741","2,306,690",0,"50,017","50,017"
2353 宏碁,2023/12,"63,145,636",0,0,0,0,0,0,"63,145,636","56,234,535",0,0,0,0,0,"56,234,535","6,911,101",0,"6,911,101","5,530,073","3,514,662","1,460,717","554,694",0,0,"13,594","1,394,622","665,655",0,0,"1,281","2,216",0,0,0,0,0,"669,152",207,"3,967","576,390","-1,438,849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-466,071",0,0,0,0,0,0,0,0,0,0,"13,794","-378,420","76,850","9,212",0,135,"86,197",-,-,"59,938",0,0,0,0,"264,473","1,659,095","479,128","1,179,967",0,0,0,"1,179,967","-28,947",0,0,0,"274,916",0,82,0,"-3,280","249,331","-2,271,086",0,0,0,"-1,366",0,0,"-2,272,452",0,"-2,023,121","-843,154","1,016,655","163,312",0,"-963,795","120,641",0,0.34,"3,001,145",0,-,-,-,"1,745,292","2,210,081","2,612,426",0,"41,646","41,646"
2324 仁寶,2023/09,"251,714,171",0,0,0,0,0,0,"251,714,171","240,482,167",0,0,0,0,0,"240,482,167","11,232,004",0,"11,232,004","7,583,931","1,533,684","1,249,208","4,801,039",0,0,0,"3,648,073","1,170,670",0,0,"45,130",0,0,0,0,0,"75,585","1,291,385","14,981",602,"198,248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-82,354",0,0,0,0,0,0,0,0,0,"-11,038","285,147","1,385,928","18,993",0,"-10,996","1,393,925",-,"109,735","-109,735",0,0,0,0,"72,872","3,720,945","885,326","2,835,619",0,0,0,"2,835,619",0,0,0,0,"203,794",0,"-1,453",0,"5,298","197,043","2,907,820",0,0,"14,942","246,464",0,"3,110","3,166,116",0,"3,363,159","6,198,778","2,396,642","438,977",0,"5,722,014","476,764",0,0.55,"4,357,130",0,"2,396,642",0.55,"4,377,823","5,114,870","7,203,344","2,737,682",0,"50,017","50,017"
2353 宏碁,2023/09,"67,444,821",0,0,0,0,0,0,"67,444,821","60,150,982",0,0,0,0,0,"60,150,982","7,293,839",0,"7,293,839","5,768,293","3,756,838","1,368,275","643,180",0,0,"20,575","1,546,121","578,562",0,0,"396,430",0,0,0,0,0,0,"974,992",-638,0,"-223,896","1,198,033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"466,071",0,0,0,0,0,0,0,0,0,0,"11,315","518,743","63,138","9,090",0,38,"72,266",-,"-9,272","9,272",0,0,0,0,"1,430,741","2,976,862","781,827","2,195,035",0,0,0,"2,195,035",0,0,0,0,"1,351,166",0,0,0,0,"1,351,166","1,657,374",0,0,0,109,0,0,"1,657,483",0,"3,008,649","5,203,684","2,007,986","187,049",0,"4,985,007","218,677",0,0.67,"3,001,108",0,"2,007,986",0.67,"3,006,893","3,049,128","3,537,802","997,640",0,"46,746","46,746"
2324 仁寶,2023/06,"243,870,673",0,0,0,0,0,0,"243,870,673","233,267,161",0,0,0,0,0,"233,267,161","10,603,512",0,"10,603,512","7,843,101","1,848,079","1,182,137","4,812,885",0,0,0,"2,760,411","1,326,363",0,0,"79,320",0,0,0,0,0,"48,780","1,454,463","17,406",177,"551,562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"219,753",0,0,0,0,0,0,0,0,0,"-10,108","339,284","1,300,767","8,962",0,"-10,955","1,298,774",-,"80,335","-80,335",0,0,0,0,"414,638","3,175,049","733,258","2,441,791",0,0,0,"2,441,791","8,485",0,0,0,"301,459",0,"-9,247",0,"11,768","288,929","1,562,670",0,0,"21,740","-185,725",0,"4,425","1,394,260",0,"1,683,189","4,124,980","2,091,774","350,017",0,"3,709,521","415,459",0,0.48,"4,357,130",0,"2,091,774",0.48,"4,369,892","4,473,823","6,575,925","2,643,961",0,"50,017","50,017"
2353 宏碁,2023/06,"58,260,653",0,0,0,0,0,0,"58,260,653","52,005,259",0,0,0,0,0,"52,005,259","6,255,394",0,"6,255,394","5,221,092","3,493,771","1,302,317","425,004",0,0,"11,837","1,046,139","482,091",0,0,"86,765",0,0,0,0,0,0,"568,856","1,664",0,"-218,080","892,815",0,0,0,0,0,0,0,0,0,0,0,0,0,-572,0,0,0,0,0,0,0,0,0,0,0,0,"1,920","678,891","53,644","10,818",0,0,"64,462",-,"8,949","-8,949",0,0,0,0,"1,174,336","2,220,475","625,218","1,595,257",0,0,0,"1,595,257",212,0,0,0,"4,702,702",0,0,0,43,"4,702,871","1,240,583",0,0,0,499,0,0,"1,241,082",0,"5,943,953","7,539,210","1,392,137","203,120",0,"7,335,363","203,847",0,0.46,"3,001,108",0,"1,392,137",0.46,"3,004,425","2,284,937","2,681,188","700,206",0,"46,746","46,746"
2324 仁寶,2023/03,"209,458,784",0,0,0,0,0,0,"209,458,784","200,120,047",0,0,0,0,0,"200,120,047","9,338,737",0,"9,338,737","7,084,710","1,525,658","1,174,354","4,384,698",0,0,0,"2,254,027","1,150,097",0,0,"3,253",0,0,0,0,0,"51,042","1,204,392","8,551",0,"230,764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"199,900",0,0,0,0,0,0,0,0,0,"-20,850","18,565","1,147,611","9,281",0,"-11,021","1,145,871",-,"120,089","-120,089",0,0,0,0,"-43,003","2,211,024","526,302","1,684,722",0,0,0,"1,684,722","8,409",0,0,0,"-106,053",0,"2,265",0,"1,690","-97,069","-629,517",0,0,"20,686","35,914",0,"4,289","-577,206",0,"-674,275","1,010,447","1,393,250","291,472",0,"718,835","291,612",0,0.32,"4,357,130",0,"1,393,250",0.32,"4,388,566","3,356,895","5,262,313","1,876,071",0,"50,017","50,017"
2353 宏碁,2023/03,"52,457,032",0,0,0,0,0,0,"52,457,032","47,094,141",0,0,0,0,0,"47,094,141","5,362,891",0,"5,362,891","5,138,388","3,439,042","1,203,827","495,519",0,0,"14,026","238,529","333,387",0,0,0,0,0,0,0,0,0,"333,387",0,0,"441,976","3,219",0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,1,0,1,0,0,-196,"444,426","48,964","11,557",0,32,"60,553",-,"13,426","-13,426",0,0,0,0,"703,834","942,363","281,458","660,905",0,0,0,"660,905","-7,247",0,0,0,"1,483,567",0,2,0,-43,"1,476,365","-218,275",0,0,0,190,0,0,"-218,085",0,"1,258,280","1,919,185","515,166","145,739",0,"1,785,005","134,180",0,0.17,"3,001,108",0,"515,166",0.17,"3,017,380","1,002,916","1,429,384","658,259",0,"46,746","46,746"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
